temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,time
93.56,97.9,89.42,97.5,1013,43,1013,1009,30-Jul-2025 19:06:36
93.25,96.33,87.75,98.33,1013,41,1013,1008,30-Jul-2025 20:06:20
91.27,94.24,85.08,96.33,1012,44,1012,1008,30-Jul-2025 21:06:25
86.36,89.04,80.55,91.38,1013,52,1013,1009,30-Jul-2025 22:02:04
81.21,83.5,76.95,84.78,1012,61,1012,1008,30-Jul-2025 22:59:12
80.49,82.92,77.95,85.71,1012,64,1012,1009,31-Jul-2025 00:28:00
81.43,84.47,77,84.15,1013,65,1013,1010,31-Jul-2025 01:30:29
78.62,79.38,74.19,82.29,1014,68,1014,1010,31-Jul-2025 02:47:52
78.91,78.91,75,81.28,1014,70,1014,1010,31-Jul-2025 03:27:17
78.21,79.07,73.78,80.47,1014,71,1014,1010,31-Jul-2025 04:19:59
78.21,79.11,73,80.1,1014,72,1014,1010,31-Jul-2025 05:10:00
76.48,77.4,71.98,78.48,1014,76,1014,1010,31-Jul-2025 06:04:19
74.55,75.33,71.01,76.14,1014,77,1014,1010,31-Jul-2025 07:06:56
73.49,74.35,71.01,75.29,1014,81,1014,1010,31-Jul-2025 08:11:17
71.94,73.02,70.2,73.38,1014,89,1014,1011,31-Jul-2025 09:08:40
71.91,72.84,70,73.29,1015,86,1015,1012,31-Jul-2025 09:57:53
73.42,74.23,71.85,74.5,1016,80,1016,1013,31-Jul-2025 11:05:51
76.21,77,73.99,77.38,1016,74,1016,1013,31-Jul-2025 12:09:12
76.44,77.16,73.67,78.33,1017,72,1017,1013,31-Jul-2025 13:20:19
76.12,76.82,73.36,78.12,1017,72,1017,1013,31-Jul-2025 13:57:19
72.72,73.22,70.36,74.68,1018,75,1018,1014,31-Jul-2025 15:01:21
70.45,71.04,68.95,72.57,1018,82,1018,1014,31-Jul-2025 16:07:47
70.27,70.81,68.56,72.41,1018,81,1018,1014,31-Jul-2025 17:06:09
70.25,70.59,68.14,72.14,1019,77,1019,1014,31-Jul-2025 18:04:53
68.58,68.94,65.16,71.71,1018,81,1018,1014,31-Jul-2025 19:06:11
66.4,66.63,64.15,69.33,1019,83,1019,1014,31-Jul-2025 20:07:13
64.74,64.9,62.73,67.32,1018,85,1018,1015,31-Jul-2025 21:07:09
63.18,63.23,61.38,65.88,1019,86,1019,1015,31-Jul-2025 22:03:48
62.89,62.96,61.02,65.3,1019,87,1019,1015,31-Jul-2025 23:03:23
62.33,62.4,60.39,64.15,1020,88,1020,1016,01-Aug-2025 00:21:51
61.95,61.99,60.03,63.64,1020,88,1020,1017,01-Aug-2025 01:38:07
61.75,61.77,59.72,63.23,1021,88,1021,1017,01-Aug-2025 02:45:49
61.18,61.18,59.67,62.98,1020,89,1020,1016,01-Aug-2025 03:44:03
61.16,61.16,59.67,62.65,1020,89,1020,1016,01-Aug-2025 04:25:57
61.05,61.09,59.67,62.65,1020,90,1020,1017,01-Aug-2025 05:14:30
61.27,61.29,59.67,62.71,1020,89,1020,1017,01-Aug-2025 06:10:20
60.69,60.64,59.14,62.01,1020,89,1020,1016,01-Aug-2025 07:09:15
60.28,60.19,58.66,61.23,1020,89,1020,1016,01-Aug-2025 08:09:19
60.1,59.99,58.37,61.57,1020,89,1020,1017,01-Aug-2025 09:06:21
59.68,59.54,58.01,61.3,1020,89,1020,1017,01-Aug-2025 10:03:17
59.92,59.79,58.42,61.57,1021,89,1021,1017,01-Aug-2025 11:05:14
60.53,60.42,59.09,62.22,1022,88,1022,1018,01-Aug-2025 12:09:18
62.6,62.74,60.37,64.38,1022,89,1022,1018,01-Aug-2025 13:19:15
64.27,64.49,61.29,66.94,1022,87,1022,1018,01-Aug-2025 14:05:31
68.38,68.43,64.99,70.57,1022,75,1022,1018,01-Aug-2025 15:05:00
71.08,71.04,67.87,73.35,1022,67,1022,1018,01-Aug-2025 16:09:11
72.48,72.34,69.15,74.95,1022,62,1022,1017,01-Aug-2025 17:05:12
73.76,73.56,70.47,75.78,1021,58,1021,1018,01-Aug-2025 18:09:21
74.25,73.81,70.95,76.41,1022,52,1022,1017,01-Aug-2025 19:08:41
74.21,73.72,71.01,76.62,1022,51,1022,1017,01-Aug-2025 20:01:01
73.13,72.59,69.75,75.63,1022,52,1022,1017,01-Aug-2025 21:05:07
71.31,70.5,68.09,74.08,1022,50,1022,1018,01-Aug-2025 22:07:19
68.97,68.16,66.51,71.53,1022,55,1022,1018,01-Aug-2025 23:05:06
64.26,63.54,61.14,66.22,1023,67,1023,1018,02-Aug-2025 00:30:25
61.79,61.05,58.14,63.34,1023,72,1023,1019,02-Aug-2025 01:32:17
60.21,59.45,55.99,62.29,1023,75,1023,1019,02-Aug-2025 02:42:35
59.11,58.24,55.17,61.29,1023,75,1023,1019,02-Aug-2025 03:32:01
59,58.17,55.15,61.29,1023,76,1023,1019,02-Aug-2025 04:15:02
58.08,57.31,53.98,60.94,1023,79,1023,1019,02-Aug-2025 05:05:06
57.18,56.35,53.33,60.3,1022,80,1022,1019,02-Aug-2025 06:03:39
56.5,55.62,52.32,59.29,1022,80,1022,1018,02-Aug-2025 07:05:00
56.14,55.26,52.2,59.07,1023,81,1023,1018,02-Aug-2025 08:09:06
55.4,54.5,51.51,58.41,1022,82,1022,1019,02-Aug-2025 09:04:47
55.4,54.54,51.21,58.06,1023,83,1023,1019,02-Aug-2025 10:01:45
57.99,57.2,53.98,60.46,1023,79,1023,1019,02-Aug-2025 11:06:13
61.7,60.96,58.35,64.45,1024,72,1024,1020,02-Aug-2025 12:00:31
67.08,66.45,63.34,69.15,1023,63,1023,1019,02-Aug-2025 13:11:53
70.29,69.69,67.35,72.95,1023,57,1023,1019,02-Aug-2025 14:05:17
72.84,72.41,69.73,75.11,1024,55,1024,1019,02-Aug-2025 15:07:22
74.73,74.35,71.15,77.38,1023,52,1023,1019,02-Aug-2025 16:05:02
75.58,75.33,72.14,78.51,1022,53,1022,1018,02-Aug-2025 16:57:13
76.14,75.94,73.08,78.78,1022,53,1022,1018,02-Aug-2025 18:08:39
75.87,75.78,72.95,79.25,1022,56,1022,1017,02-Aug-2025 18:59:20
75.72,75.63,72.95,78.78,1021,56,1021,1017,02-Aug-2025 20:00:21
74.61,74.39,72.14,77.52,1022,56,1022,1017,02-Aug-2025 20:56:17
73.33,72.95,70.09,76.5,1022,55,1022,1017,02-Aug-2025 22:07:44
72.09,71.73,68.72,74.41,1022,58,1022,1017,02-Aug-2025 23:00:40
66.85,66.67,64,69.1,1023,73,1023,1019,03-Aug-2025 00:30:51
65.05,64.87,61.38,66.85,1023,77,1023,1019,03-Aug-2025 01:33:22
63.7,63.48,59.38,65.44,1022,79,1022,1018,03-Aug-2025 02:52:54
63.07,62.69,58.37,65.07,1022,77,1022,1018,03-Aug-2025 03:40:50
63.07,62.65,58.19,65.08,1022,76,1022,1018,03-Aug-2025 04:12:57
62.29,61.79,57.2,64.42,1021,76,1021,1018,03-Aug-2025 05:02:58
60.78,60.31,56.62,63.28,1021,80,1021,1018,03-Aug-2025 06:06:56
60.15,59.58,55.2,62.42,1021,79,1021,1017,03-Aug-2025 07:02:27
58.78,58.12,54.43,61.29,1020,80,1020,1017,03-Aug-2025 08:05:54
58.19,57.47,53.98,60.67,1021,80,1021,1017,03-Aug-2025 08:56:12
57.51,56.77,53.44,60.1,1021,81,1021,1017,03-Aug-2025 09:55:27
58.78,58.12,55.38,61.45,1021,80,1021,1018,03-Aug-2025 11:02:41
63.84,63.55,61.14,66.15,1021,77,1021,1018,03-Aug-2025 12:02:23
70.84,70.63,67.33,73.67,1021,64,1021,1017,03-Aug-2025 13:17:39
75.09,75.02,71.85,78.01,1021,58,1021,1017,03-Aug-2025 14:01:29
78.89,78.89,75.36,81.5,1021,50,1021,1017,03-Aug-2025 15:03:30
81.09,80.92,78.24,83.34,1020,42,1020,1016,03-Aug-2025 16:00:06
82.6,82.24,78.15,85.26,1020,42,1020,1016,03-Aug-2025 17:07:01
83.84,82.98,79.05,86.32,1020,39,1020,1015,03-Aug-2025 18:07:30
84.24,83.37,80.15,86.77,1019,39,1019,1015,03-Aug-2025 18:59:03
84.34,83.64,79.23,86.29,1018,40,1018,1014,03-Aug-2025 20:08:29
83.3,82.76,79.09,86.07,1018,41,1018,1014,03-Aug-2025 21:03:08
